X1,Random_state,Optimal_Nfeat,Optimal_C,CV_AUC,CV_AUC_SD,Test_AUC,CV_AUC_lowCI,CV_AUC_highCI
0,648,20,0.9000000000000001,0.9554166666666667,0.05081967029496444,0.9141414141414141,0.8282549854993212,1.0
0,649,20,0.1,0.9461458333333335,0.031075205595100686,0.8097643097643097,0.687218250911736,0.9323103686168833
0,650,45,0.30000000000000004,0.9600000000000002,0.04294699575575042,0.9090909090909092,0.8309821753455298,0.9871996428362886
0,651,35,0.30000000000000004,0.9536458333333335,0.01979166666666666,0.9124579124579124,0.8370180251936524,0.9878977997221728
0,652,40,2.0,0.9390625,0.04309278184594517,0.9494949494949495,0.8843920146910761,1.0
0,653,45,0.1,0.9425000000000001,0.025055493963954838,0.9057239057239057,0.823607589363329,0.9878402220844824
0,654,35,0.1,0.8966666666666667,0.08442616761275962,0.98989898989899,0.9689691822911931,1.0
0,655,45,0.1,0.9397916666666667,0.045378424266262166,0.9461279461279462,0.8887178994874151,1.0
0,656,50,0.08999999999999998,0.8884375,0.08291588148706967,0.994949494949495,0.9847049295866399,1.0
0,657,20,1.0,0.9588541666666666,0.0345764300338958,0.9494949494949494,0.8971096499982574,1.0
0,658,40,1.0,0.9557291666666667,0.01970375211025107,0.9292929292929293,0.8618792836439485,0.9967065749419101
0,659,50,0.5000000000000001,0.9577083333333333,0.025031230493125986,0.9208754208754208,0.8203165207394154,1.0
0,660,45,0.30000000000000004,0.9621875000000001,0.03395833333333333,0.8552188552188552,0.7494442757776065,0.9609934346601041
0,661,40,0.1,0.9383333333333332,0.049888765156985884,0.9612794612794613,0.9127392034010828,1.0
0,662,25,0.08999999999999998,0.9319791666666667,0.05685973543632517,0.9663299663299663,0.9140509833363246,1.0
0,663,20,0.7000000000000001,0.9403124999999999,0.06650011748109926,0.9023569023569024,0.7968972580579297,1.0
0,664,40,4.0,0.9307291666666668,0.04838763113877577,0.9259259259259259,0.852681162152173,0.999170689699679
0,665,20,1.0,0.9169791666666667,0.033051543290577044,0.9848484848484849,0.9622363977342722,1.0
0,666,30,0.1,0.9116666666666667,0.0659545297913646,0.9612794612794613,0.9158680372181649,1.0
0,667,25,0.30000000000000004,0.9667708333333334,0.01840068122229293,0.9107744107744108,0.8232205724990604,0.9983282490497614
0,668,20,0.1,0.9537500000000001,0.010573814617041254,0.9444444444444444,0.87041476286492,1.0
0,669,35,0.30000000000000004,0.9402083333333333,0.054818196999009576,0.9242424242424242,0.8268361129628223,1.0
0,670,45,0.30000000000000004,0.9221875,0.06302866686851487,0.930976430976431,0.8607369605057617,1.0
0,671,25,0.08999999999999998,0.9333333333333333,0.04249182927993988,0.9595959595959596,0.9145087379773433,1.0
0,672,35,0.1,0.9323958333333333,0.05577772417272766,0.9528619528619529,0.8993435362046419,1.0
0,673,20,0.1,0.9442708333333334,0.04838763113877575,0.8316498316498316,0.7144521028072575,0.9488475604924056
0,674,30,0.30000000000000004,0.9701041666666667,0.02826661875978643,0.9242424242424242,0.8441975506594427,1.0
0,675,35,0.08999999999999998,0.9272916666666667,0.043622831050825754,0.9696969696969696,0.9327596639863531,1.0
0,676,45,2.0,0.9589583333333334,0.02871374525670008,0.8771043771043772,0.7586008910657479,0.9956078631430064
0,677,40,0.1,0.9330208333333333,0.03195659491143158,0.861952861952862,0.753087848486245,0.9708178754194791
0,678,45,0.30000000000000004,0.9266666666666667,0.055126118028470755,0.9410774410774411,0.8833347409928229,0.9988201411620594
0,679,45,0.1,0.9070833333333335,0.0392552190443796,0.9814814814814815,0.9549741968787318,1.0
0,680,25,0.08999999999999998,0.9490625000000001,0.03805207050141216,0.9646464646464648,0.9194554931993595,1.0
0,681,45,0.08999999999999998,0.9528125000000001,0.02236941271021662,0.930976430976431,0.8403395352029306,1.0
0,682,40,0.7000000000000001,0.9470833333333335,0.042565309297073785,0.9494949494949494,0.8956224454745234,1.0
0,683,50,0.1,0.9690625,0.014978282890015583,0.8181818181818182,0.7027506735006905,0.9336129628629457
0,684,20,1.5,0.9336458333333333,0.04280172715232671,0.9545454545454546,0.9036530668906971,1.0
0,685,20,0.5000000000000001,0.9522916666666668,0.02493394050062865,0.9696969696969697,0.9299594553433643,1.0
0,686,50,0.7000000000000001,0.9817708333333333,0.02203315840828193,0.835016835016835,0.7154340171029125,0.9545996529307574
0,687,45,0.1,0.9296875,0.048099740845917754,0.9377104377104377,0.8753572932734601,1.0
0,688,45,0.30000000000000004,0.9513541666666667,0.03315643162846892,0.9124579124579125,0.8382586483866256,0.9866571765291997
0,689,25,8.0,0.9346875000000001,0.045704838821143075,0.9023569023569024,0.7941573955830972,1.0
0,690,40,0.08999999999999998,0.9410416666666667,0.03407762788432058,0.9427609427609428,0.8843349793524059,1.0
0,691,45,0.30000000000000004,0.9550000000000001,0.05666666666666668,0.9242424242424243,0.8508832613158741,0.9976015871689745
0,692,35,0.1,0.9436458333333334,0.05679557946902399,0.898989898989899,0.8161154507230027,0.9818643472567953
0,693,40,1.0,0.9289583333333334,0.05788668288609699,0.9494949494949495,0.8962085147139671,1.0
0,694,30,0.30000000000000004,0.9508333333333333,0.0341971408811387,0.9393939393939394,0.8808954013734754,0.9978924774144035
0,695,40,0.08999999999999998,0.9291666666666668,0.04859126579037756,0.9848484848484849,0.9617581991543503,1.0
0,696,35,0.30000000000000004,0.9121875000000002,0.05520204366687887,0.9612794612794613,0.9180088155075602,1.0
0,697,40,0.30000000000000004,0.9613541666666666,0.03979166666666667,0.9410774410774411,0.8662705420406082,1.0
0,698,20,0.08999999999999998,0.9430208333333333,0.08501659356005482,0.9444444444444444,0.8834792196159356,1.0
0,699,40,0.30000000000000004,0.9063541666666666,0.06022274913924879,0.9259259259259259,0.8400511492526401,1.0
0,700,50,0.1,0.9453125,0.027023170356401782,0.9612794612794613,0.9173191433428542,1.0
0,701,25,1.0,0.9354166666666668,0.05092887196865837,0.9562289562289562,0.9011961267513144,1.0
0,702,35,0.9000000000000001,0.9072916666666666,0.05343252494709774,0.9831649831649831,0.95756099443213,1.0
0,703,25,0.08999999999999998,0.9256249999999999,0.05690055897011129,0.9579124579124579,0.9114178894878464,1.0
0,704,35,0.5000000000000001,0.9550000000000001,0.052068331172711015,0.9309764309764309,0.8298542802138538,1.0
0,705,45,4.0,0.9004166666666666,0.07870920460078917,0.9242424242424243,0.8533582591196565,0.9951265893651922
0,706,50,0.30000000000000004,0.9357291666666667,0.03794241341969579,0.8905723905723906,0.8019227123803156,0.9792220687644655
0,707,50,0.5000000000000001,0.9247916666666667,0.019369398831949117,0.9276094276094276,0.8605661141675469,0.9946527410513086
0,708,40,0.1,0.930625,0.044583333333333315,0.9562289562289562,0.907727058200578,1.0
0,709,40,0.1,0.9183333333333333,0.05637178175095923,0.9276094276094276,0.8283376889478551,1.0
0,710,50,0.1,0.9533333333333334,0.04428443418528809,0.898989898989899,0.8147566036088997,0.9832231943708983
0,711,30,0.1,0.9275,0.03723051317281447,0.9663299663299663,0.9261651411232322,1.0
0,712,35,0.30000000000000004,0.9467708333333335,0.04046228096085975,0.9292929292929293,0.8624032295218697,0.9961826290639889
0,713,50,0.7000000000000001,0.9478125000000001,0.02561822403637259,0.9377104377104377,0.8681521263185539,1.0
0,714,30,0.30000000000000004,0.9686458333333334,0.029610462912438358,0.9444444444444444,0.8729412655466483,1.0
0,715,30,4.0,0.9421875,0.04584516892638621,0.8653198653198653,0.746375394409963,0.9842643362297679
0,716,20,0.08999999999999998,0.9257291666666667,0.08164141829093585,0.9579124579124579,0.9079892277365553,1.0
0,717,50,0.30000000000000004,0.9535416666666666,0.023007396153797533,0.8956228956228955,0.7877468282707696,1.0
0,718,50,0.30000000000000004,0.9316666666666666,0.0429469957557504,0.9343434343434344,0.8566740845003913,1.0
0,719,25,0.30000000000000004,0.9444791666666668,0.02020833333333333,0.8922558922558922,0.7811424082407447,1.0
0,720,25,0.9000000000000001,0.931875,0.04835667539808288,0.9696969696969697,0.9307207020180659,1.0
0,721,40,0.1,0.8868750000000001,0.08855416578443831,0.9528619528619529,0.8987788492533604,1.0
0,722,30,0.30000000000000004,0.9441666666666666,0.04179978734661488,0.941077441077441,0.8759603667590454,1.0
0,723,30,0.30000000000000004,0.9330208333333333,0.07523372147662391,0.9646464646464646,0.9186965922763157,1.0
0,724,40,4.0,0.9345833333333335,0.05533358433678011,0.9646464646464645,0.9220306145890971,1.0
0,725,25,0.08999999999999998,0.9082291666666666,0.08202117993746091,0.9579124579124579,0.9113340274730731,1.0
