,Random_state,CV_AUC,CV_AUC_SD,Test_AUC,Test_AUC_lCI,Test_AUC_uCI
0,51,0.716,0.075,0.754,0.6374988100229595,0.8698903525386168
0,52,0.682,0.052,0.759,0.6527237475413096,0.864517631769035
0,53,0.703,0.059,0.755,0.639318459735218,0.8708856218974352
0,54,0.745,0.087,0.683,0.5596677123183419,0.8055680371538608
0,55,0.695,0.132,0.776,0.6676719723633145,0.8847558953354889
0,56,0.711,0.06,0.735,0.6160048693219251,0.8547903453156542
0,57,0.721,0.089,0.72,0.5957319742578835,0.8440991305978518
0,58,0.716,0.062,0.727,0.6087125088584276,0.8451931913526912
0,59,0.733,0.053,0.691,0.5703471428931405,0.8117781210055223
0,60,0.681,0.073,0.769,0.6515652664852898,0.8867880058581306
0,61,0.739,0.049,0.667,0.540172591921401,0.7940990477689579
0,62,0.757,0.104,0.647,0.5193281096782546,0.7755346630170304
0,63,0.677,0.073,0.791,0.6891344063845144,0.8928501115605947
0,64,0.715,0.072,0.743,0.6262812183548647,0.8599960511736362
0,65,0.726,0.06,0.7,0.5794593536638214,0.8195554246613016
0,66,0.705,0.089,0.74,0.6186321069256555,0.8606078649251536
0,67,0.711,0.106,0.749,0.6305828773394934,0.8669540684733147
0,68,0.725,0.062,0.709,0.587182260509436,0.8315369513132244
0,69,0.724,0.08,0.686,0.5556100817531211,0.8166629653967732
0,70,0.707,0.077,0.767,0.6511447295211718,0.8829861642156333
0,71,0.728,0.104,0.72,0.595983815509099,0.8438472893466363
0,72,0.724,0.074,0.7,0.5709101290070119,0.8281046493181111
0,73,0.731,0.089,0.71,0.5911770132844159,0.8289496580737825
0,74,0.725,0.077,0.713,0.5833314087157216,0.8424251007846301
0,75,0.7,0.123,0.724,0.5998800118356242,0.8483958502333413
0,76,0.72,0.057,0.72,0.5994079312790248,0.8404231735767105
0,77,0.68,0.073,0.8,0.6895670239622653,0.9107144679448422
0,78,0.743,0.072,0.678,0.5541790417614161,0.801204490962018
0,79,0.745,0.106,0.678,0.5473488599691526,0.8094421322898199
0,80,0.736,0.118,0.66,0.5306390740779188,0.7895579702570565
0,81,0.743,0.061,0.74,0.6198928609917608,0.8593471108590484
0,82,0.71,0.109,0.737,0.6203071364285574,0.8533029972800984
0,83,0.746,0.113,0.65,0.516056895750019,0.7830282555518812
0,84,0.696,0.09,0.748,0.6371439315953912,0.8589855546818784
0,85,0.726,0.074,0.727,0.6069715706979345,0.8469341295131844
0,86,0.706,0.136,0.741,0.6253428832632387,0.8567120076586473
0,87,0.732,0.108,0.674,0.5365767848299209,0.8117694502158216
0,88,0.733,0.069,0.696,0.5714621786597425,0.8205153019876892
0,89,0.721,0.143,0.692,0.5727817339182525,0.8107509895159487
0,90,0.714,0.062,0.745,0.626517239987088,0.8639824081480278
0,91,0.699,0.077,0.763,0.6525621687495584,0.8731239677740164
0,92,0.767,0.028,0.632,0.5043046848674294,0.7595939780460118
0,93,0.694,0.052,0.79,0.6856592296420517,0.8949178287675189
0,94,0.711,0.038,0.741,0.6173302098695436,0.8647246810523425
0,95,0.73,0.078,0.703,0.5755094711447728,0.830542604858042
0,96,0.745,0.062,0.684,0.5574074774980997,0.8106431910451795
0,97,0.768,0.068,0.619,0.48755365049569316,0.7496032812425193
0,98,0.691,0.072,0.759,0.649012154722034,0.869636684123849
0,99,0.716,0.08,0.764,0.656308894047422,0.8707847020116912
0,100,0.756,0.04,0.635,0.5041739647193142,0.7667619958718188
0,101,0.712,0.035,0.723,0.5973662946465779,0.8480946483513112
0,102,0.739,0.076,0.694,0.574180033756698,0.8135750682841183
0,103,0.69,0.071,0.794,0.6889031739682543,0.8987111821190081
0,104,0.751,0.052,0.616,0.48154584464286093,0.7513887084887365
0,105,0.717,0.08,0.754,0.6426170183080095,0.8647721442535667
0,106,0.71,0.066,0.761,0.6512302070437048,0.8716410104087935
0,107,0.742,0.114,0.678,0.5512776257823839,0.8041059069410501
0,108,0.695,0.049,0.778,0.6664884362914916,0.8887543504783888
0,109,0.705,0.035,0.776,0.6546463999948064,0.897781467703997
0,110,0.744,0.028,0.677,0.5425734454105546,0.811402627777341
0,111,0.731,0.094,0.731,0.6151473979885079,0.8472030594358412
0,112,0.73,0.101,0.73,0.6178875250224801,0.8416480133307921
0,113,0.651,0.088,0.842,0.7525920405410228,0.9321370234983858
0,114,0.737,0.035,0.69,0.5626836500026172,0.8166266948249691
0,115,0.734,0.076,0.679,0.557931682549064,0.8002667692454469
0,116,0.712,0.135,0.714,0.5950832475030569,0.8334881810683717
0,117,0.744,0.044,0.695,0.5711957102949613,0.8193743108169319
0,118,0.722,0.039,0.686,0.5515761384900065,0.8206969086598878
0,119,0.715,0.104,0.759,0.6431597208054762,0.8740816585048683
0,120,0.712,0.068,0.723,0.5967733339322226,0.8500950686012044
0,121,0.691,0.084,0.801,0.7047360031747454,0.8969529482679006
0,122,0.684,0.075,0.761,0.6405269846246866,0.8823442328278117
0,123,0.79,0.094,0.591,0.45394250851627405,0.7283235013359426
0,124,0.716,0.091,0.715,0.5971743235458579,0.8328045645611092
0,125,0.712,0.107,0.76,0.647107795033322,0.8729485033480994
0,126,0.689,0.12,0.749,0.6324837097040545,0.8650532361087535
0,127,0.763,0.057,0.65,0.5205929040653915,0.7798997067720469
0,128,0.724,0.078,0.645,0.5179324609497346,0.7727079331389354
0,129,0.74,0.097,0.691,0.5689935438991034,0.8131317199995594
0,130,0.727,0.107,0.712,0.5977903042882746,0.8265587456765386
0,131,0.735,0.045,0.716,0.6017047942198634,0.829681553422642
0,132,0.726,0.051,0.714,0.5993120354182565,0.8292593931531721
0,133,0.717,0.128,0.676,0.5540054211849723,0.7985631924673853
0,134,0.702,0.096,0.74,0.6202250835282864,0.8604223478580612
0,135,0.733,0.07,0.669,0.540340196954104,0.7967463618073318
0,136,0.686,0.115,0.778,0.6707138825153545,0.8845289042545259
0,137,0.696,0.082,0.781,0.6742313662068684,0.8880487182407037
0,138,0.685,0.048,0.813,0.7112887845801974,0.9143269789666009
0,139,0.74,0.075,0.652,0.522789043689958,0.780518486218557
0,140,0.722,0.085,0.713,0.5965631125249915,0.8291933969753602
0,141,0.702,0.087,0.745,0.6287672078534262,0.8603249807461516
0,142,0.693,0.057,0.789,0.6844874887860107,0.8932746505524835
0,143,0.741,0.063,0.646,0.5119132196007464,0.780134634023462
0,144,0.713,0.058,0.738,0.6239756126782174,0.8524494401015148
0,145,0.711,0.037,0.754,0.6347181077326008,0.8740785143645139
0,146,0.719,0.084,0.711,0.5872235851548667,0.8343105457388701
0,147,0.683,0.076,0.797,0.693486473275923,0.8997577209534927
0,148,0.724,0.104,0.703,0.5802962893267917,0.8257557866760231
0,149,0.749,0.097,0.671,0.5424614560884818,0.7988474812795686
0,150,0.767,0.045,0.612,0.47402370005621874,0.7490586363266102
0,151,0.729,0.034,0.685,0.5636983107258098,0.8071672768885463
0,152,0.768,0.072,0.559,0.42025809128688113,0.6986722394661098
0,153,0.717,0.06,0.747,0.6289753115563187,0.864339255649874
0,154,0.684,0.092,0.811,0.7160072162780422,0.9067936281976792
0,155,0.728,0.021,0.678,0.5424066251257261,0.8143843671332464
0,156,0.712,0.073,0.766,0.6576764099452879,0.8736395647204402
0,157,0.699,0.12,0.721,0.6047432166108432,0.837902807315969
0,158,0.736,0.062,0.726,0.6137683828477752,0.8373223982922667
0,159,0.72,0.051,0.702,0.5831440222956126,0.8200931346361258
0,160,0.71,0.072,0.73,0.6115957322315867,0.8479398061216855
0,161,0.662,0.093,0.759,0.6452516590247872,0.8719897202855573
0,162,0.684,0.079,0.777,0.6670541387447837,0.8867811884895582
0,163,0.697,0.127,0.774,0.6676289149438018,0.8805765741483867
0,164,0.769,0.061,0.638,0.5085400923410524,0.768025706392234
0,165,0.726,0.064,0.721,0.604273914875788,0.8369646495154858
0,166,0.737,0.089,0.704,0.5765103241712496,0.8323566709026421
0,167,0.656,0.101,0.822,0.7193411776965741,0.9245715598122226
0,168,0.733,0.072,0.712,0.587020312136554,0.8373287378282592
0,169,0.711,0.122,0.728,0.6102952631086679,0.8464253561735279
0,170,0.738,0.028,0.71,0.5846428967323054,0.835483774625893
0,171,0.742,0.083,0.673,0.5366186634326322,0.8089126525420334
0,172,0.724,0.097,0.712,0.5895608576245879,0.8347881923402254
0,173,0.762,0.047,0.666,0.5394149011067094,0.7920418195125728
0,174,0.743,0.063,0.678,0.5480590226421852,0.8073245100812488
0,175,0.754,0.061,0.662,0.532324584947742,0.7920948379938484
0,176,0.712,0.054,0.738,0.6100267574952871,0.8663982952844451
0,177,0.731,0.1,0.671,0.5355522046221878,0.8057567327458627
0,178,0.704,0.11,0.751,0.6314678141934507,0.8702915102259723
0,179,0.76,0.086,0.652,0.5238993528258113,0.7808156366182422
0,180,0.767,0.071,0.618,0.48224632468057105,0.753503147522103
0,181,0.721,0.081,0.721,0.5946837241160461,0.8465548402752276
0,182,0.69,0.07,0.783,0.676549515396017,0.88995294765817
0,183,0.703,0.087,0.715,0.5925087474735795,0.8374701406333875
0,184,0.713,0.053,0.757,0.6347598091425211,0.8782591915612086
0,185,0.748,0.105,0.676,0.544124146930547,0.8084444667218106
0,186,0.685,0.116,0.789,0.6811427488452133,0.8966193904932809
0,187,0.684,0.116,0.774,0.6609669877851221,0.8872385013070665
0,188,0.7,0.107,0.787,0.6826471846516938,0.890892576080185
0,189,0.743,0.078,0.713,0.5965887686467309,0.8291677408536208
0,190,0.734,0.074,0.726,0.6044822234454015,0.8480160172301789
0,191,0.725,0.096,0.726,0.6043152471153713,0.8467755340246707
0,192,0.743,0.093,0.716,0.5927417862677765,0.840052020910267
0,193,0.664,0.111,0.8,0.6874587649395048,0.9128227269676028
0,194,0.76,0.062,0.639,0.5083275611688332,0.7696456970999916
0,195,0.739,0.039,0.718,0.5918363934980192,0.8437723327511012
0,196,0.698,0.066,0.747,0.6319962482959706,0.8627257784457606
0,197,0.739,0.09,0.701,0.5761853010287146,0.8256443963674853
0,198,0.677,0.081,0.802,0.705318692630724,0.8991851778829989
0,199,0.686,0.134,0.809,0.7053882549346,0.913190210934506
0,200,0.698,0.11,0.751,0.6271381721071211,0.8746211523123019
0,201,0.697,0.074,0.78,0.6726476919203617,0.8868174734561336
0,202,0.69,0.068,0.795,0.6827187048336997,0.9063031107891012
0,203,0.732,0.047,0.685,0.5593379269981662,0.8101202010806514
0,204,0.736,0.04,0.684,0.5551445768409735,0.8129060917023057
0,205,0.74,0.066,0.683,0.5640075675313776,0.8026356414763636
0,206,0.721,0.085,0.731,0.6114773330294878,0.8508731243948613
0,207,0.688,0.102,0.804,0.6968610789019875,0.9118651702183503
0,208,0.737,0.07,0.702,0.5705984301879026,0.8326387267438358
0,209,0.695,0.07,0.762,0.6484805096377779,0.8757981673502588
0,210,0.736,0.067,0.698,0.5795753471250535,0.8166245121289926
0,211,0.705,0.067,0.723,0.6021285894052602,0.8433323535926289
0,212,0.728,0.059,0.719,0.6008814911152217,0.8375421542049751
0,213,0.735,0.112,0.664,0.5284975996829534,0.7987367423297137
0,214,0.709,0.037,0.737,0.6178841735874077,0.8557259601212481
0,215,0.721,0.087,0.673,0.5447324119979202,0.8022063635122838
0,216,0.692,0.075,0.745,0.6236258546363117,0.8668737934988041
0,217,0.736,0.071,0.686,0.5590416734397912,0.8132313737101031
0,218,0.716,0.094,0.743,0.6296462122765566,0.8566310572519443
0,219,0.711,0.085,0.746,0.626545451710899,0.8653616559597552
0,220,0.68,0.146,0.728,0.6079452037949944,0.8473679559516629
0,221,0.728,0.04,0.739,0.6131284313557122,0.8647040809595585
0,222,0.717,0.068,0.704,0.5883617144492229,0.8190978210891303
0,223,0.729,0.085,0.709,0.5849955390406202,0.8323162132465017
0,224,0.695,0.106,0.775,0.6720213688066372,0.8775915798210898
0,225,0.683,0.054,0.79,0.6747142888895297,0.905862769520041
0,226,0.743,0.113,0.666,0.5321951400609444,0.7992615805583378
0,227,0.725,0.076,0.718,0.5929880067519625,0.8426207194971579
0,228,0.735,0.108,0.667,0.5403126543737782,0.7939589853165807
0,229,0.703,0.099,0.747,0.6264803228847285,0.8668342443214642
0,230,0.712,0.093,0.728,0.6075886426759887,0.8477245170706686
0,231,0.675,0.136,0.818,0.7178420482642892,0.9176259320312773
0,232,0.725,0.079,0.713,0.5891253260352028,0.8366311834651489
0,233,0.687,0.047,0.777,0.6615243871757959,0.892310940058546
0,234,0.722,0.065,0.704,0.5793931605160726,0.8294738345578191
0,235,0.711,0.038,0.73,0.6176243749867092,0.8433186229021015
0,236,0.714,0.075,0.768,0.6551512815581333,0.8817945312497486
0,237,0.715,0.091,0.743,0.6233045859006638,0.8629726836278371
0,238,0.751,0.097,0.649,0.5226521702391534,0.7750255215272083
0,239,0.725,0.056,0.709,0.5804094759635442,0.8369022763235777
0,240,0.705,0.052,0.759,0.6374374932487165,0.8798038860616281
0,241,0.724,0.093,0.732,0.6100922083206026,0.8536657086392845
0,242,0.776,0.079,0.571,0.43351061649285083,0.7079390668287537
0,243,0.678,0.101,0.805,0.7028160915155066,0.9073176171403696
0,244,0.694,0.112,0.795,0.6872580744577352,0.9031712007006041
0,245,0.711,0.045,0.788,0.6804697144751422,0.8958849653278136
0,246,0.746,0.12,0.691,0.5686501400311099,0.8134751238675528
0,247,0.719,0.09,0.71,0.5868927402307107,0.8332339311274877
0,248,0.72,0.05,0.68,0.5593853433706039,0.8002205679594453
0,249,0.723,0.086,0.745,0.6245140743763339,0.8659855737587819
0,250,0.72,0.088,0.73,0.6111366584327316,0.8483988799205406
0,251,0.711,0.064,0.73,0.6126887976033333,0.8468467407499389
0,252,0.748,0.11,0.665,0.5407814301603981,0.7892678309233456
0,253,0.709,0.093,0.755,0.6441025963467225,0.8661014852859307
0,254,0.742,0.084,0.69,0.5651029239258315,0.8142074209017548
0,255,0.714,0.097,0.747,0.6259666559905883,0.8673479112156044
0,256,0.733,0.107,0.687,0.5601160145221404,0.8135644921632923
0,257,0.712,0.123,0.736,0.6171292250262737,0.8550734491468441
0,258,0.735,0.066,0.606,0.47191985935468883,0.7399028007438334
0,259,0.731,0.032,0.704,0.5852028445329768,0.8222566910053765
0,260,0.702,0.076,0.755,0.6449182708306149,0.8652858108020383
0,261,0.754,0.143,0.673,0.5448708947985391,0.8020678807116649
0,262,0.736,0.065,0.65,0.5232899584610224,0.7757951928408777
0,263,0.683,0.033,0.828,0.7253136963705066,0.9312661769581353
0,264,0.708,0.104,0.776,0.6727898378201691,0.8796380298786344
0,265,0.714,0.107,0.72,0.6022629327265931,0.8375681721291421
0,266,0.753,0.054,0.646,0.5126231916234165,0.7794246620007919
0,267,0.77,0.082,0.636,0.5040678134900171,0.7682756066366542
0,268,0.671,0.094,0.787,0.6811058825817723,0.8924338781501066
0,269,0.726,0.075,0.685,0.5502153712957858,0.8206502163185703
0,270,0.701,0.065,0.773,0.6651552150603757,0.8816428144962745
0,271,0.736,0.052,0.704,0.5773734897231653,0.8314935053507264
0,272,0.714,0.044,0.765,0.6551249067308013,0.8747836083993888
0,273,0.765,0.09,0.676,0.5434501098988296,0.8077110442179896
0,274,0.719,0.103,0.758,0.6443029241033608,0.8715309956714458
0,275,0.737,0.118,0.688,0.5692895457579898,0.8072058799985198
0,276,0.727,0.071,0.71,0.5908958332109684,0.82923083814723
0,277,0.697,0.1,0.761,0.6480158353022318,0.873447922614728
0,278,0.731,0.089,0.719,0.604197769221177,0.8342258760990199
0,279,0.685,0.135,0.802,0.7000477521907972,0.9044561183229257
0,280,0.686,0.094,0.787,0.6824500877606632,0.8910896729712157
0,281,0.71,0.038,0.759,0.6398217102533835,0.8788271285924995
0,282,0.751,0.062,0.65,0.5145652578476694,0.7845198934542308
0,283,0.706,0.088,0.757,0.6459221415009417,0.8685043187383263
0,284,0.719,0.058,0.713,0.5927852329073543,0.8329712765929974
0,285,0.718,0.028,0.702,0.5733354109395526,0.8313092055277241
0,286,0.714,0.051,0.754,0.6388308719149487,0.8685582906466276
0,287,0.703,0.092,0.755,0.6450114744219625,0.8651926072106907
0,288,0.766,0.037,0.651,0.5156140797415345,0.7862859906314421
0,289,0.702,0.038,0.738,0.6193584662927799,0.8556591269514143
0,290,0.73,0.053,0.697,0.5731927192640983,0.8201922209188713
0,291,0.693,0.039,0.792,0.6815116318257618,0.9032878051904242
0,292,0.732,0.033,0.688,0.5494858666255142,0.8256020995954569
0,293,0.709,0.11,0.723,0.6005999579638706,0.8462684445695565
0,294,0.698,0.043,0.754,0.6348634693181987,0.8725256932433776
0,295,0.699,0.074,0.768,0.6492085806047715,0.886329772667572
0,296,0.7,0.087,0.721,0.5995810122909838,0.8416575521002899
0,297,0.688,0.065,0.76,0.643856403311816,0.8761998950696054
0,298,0.708,0.138,0.764,0.6506715299980005,0.8764220660611127
0,299,0.71,0.058,0.741,0.6282675073265183,0.8537873835953678
0,300,0.691,0.076,0.797,0.6940987614868385,0.8991454327425773
0,301,0.703,0.163,0.785,0.6692852165179894,0.901439625142813
0,302,0.713,0.094,0.739,0.6155920373610708,0.8622404749541999
0,303,0.693,0.046,0.79,0.680946089123317,0.8996309692862536
0,304,0.716,0.109,0.74,0.6257006607555831,0.8549467706307645
0,305,0.673,0.056,0.775,0.6719135125860825,0.8776994360416446
0,306,0.723,0.062,0.717,0.5983565572965028,0.8358447094170791
0,307,0.74,0.117,0.701,0.578147921839619,0.8236817755565808
0,308,0.728,0.073,0.664,0.5318681977866737,0.7967736037615316
0,309,0.721,0.068,0.726,0.5980626005527534,0.854435640122827
0,310,0.74,0.065,0.684,0.5531100666311177,0.8149406019121614
0,311,0.757,0.113,0.669,0.5422174042966776,0.7948691544647581
0,312,0.714,0.127,0.725,0.6070795604459429,0.8426037611585606
0,313,0.671,0.098,0.828,0.7325549765959001,0.9226174371972033
0,314,0.681,0.077,0.79,0.689342841469253,0.8898267574047792
0,315,0.727,0.057,0.716,0.595880731571919,0.8369130756061245
0,316,0.697,0.091,0.761,0.649044058375553,0.8724196995414069
0,317,0.657,0.139,0.814,0.7101034476278023,0.916919775454534
0,318,0.707,0.161,0.713,0.5814163335838418,0.8443401759165099
0,319,0.698,0.024,0.739,0.6171098419009869,0.8607226704142837
0,320,0.705,0.112,0.744,0.6307380910487201,0.8569466380153192
0,321,0.732,0.093,0.686,0.5516245785897246,0.8206484685601697
0,322,0.712,0.053,0.74,0.6165486307938406,0.8626913410569685
0,323,0.719,0.054,0.725,0.6046551834862705,0.8450281381182331
0,324,0.716,0.033,0.711,0.5803180764641275,0.8412160544296093
0,325,0.686,0.063,0.719,0.5878421885314814,0.8505814567887154
0,326,0.715,0.119,0.707,0.5894104226062054,0.8250864106098397
0,327,0.69,0.074,0.811,0.7134900621530101,0.9079033227871728
0,328,0.681,0.119,0.792,0.6777198715873938,0.9070795654287922
0,329,0.721,0.067,0.742,0.6283616451697845,0.8551007052876399
0,330,0.763,0.115,0.654,0.5279109789305427,0.7796189295845875
0,331,0.71,0.122,0.741,0.6243265857046534,0.8577283052172326
0,332,0.744,0.096,0.67,0.5398808690290509,0.8000206088034616
0,333,0.697,0.074,0.795,0.6912698555939917,0.8991594195643476
0,334,0.752,0.109,0.614,0.4789009912307325,0.7484037237587116
0,335,0.73,0.056,0.692,0.5557277452065795,0.8278049782276217
0,336,0.753,0.141,0.659,0.5330438203439023,0.7857457644555348
0,337,0.728,0.061,0.7,0.5764009366764619,0.8226138416486611
0,338,0.727,0.072,0.717,0.5939935829683833,0.8402076837451986
0,339,0.736,0.063,0.671,0.5414707615598188,0.8012456353437701
0,340,0.7,0.119,0.745,0.6355411209635682,0.8549585271715476
0,341,0.741,0.113,0.673,0.5425668715942333,0.8029644443804322
0,342,0.694,0.085,0.761,0.6539390383402336,0.8675247195767263
0,343,0.723,0.061,0.726,0.6084483701155238,0.8440498705600566
0,344,0.708,0.077,0.726,0.6080783291392082,0.8444199115363722
0,345,0.731,0.126,0.705,0.5849156581586521,0.8253587964507776
0,346,0.763,0.06,0.647,0.5034935941531371,0.7913691785421479
0,347,0.734,0.063,0.74,0.6232321710919734,0.8574152602943742
0,348,0.713,0.054,0.704,0.5800758279709326,0.8287911671029591
0,349,0.704,0.092,0.756,0.6429173108659254,0.8686942303022662
0,350,0.693,0.029,0.775,0.6702067796923744,0.8794061689353526
0,351,0.723,0.092,0.752,0.6353884314485703,0.8691858120419291
0,352,0.704,0.072,0.721,0.5963893894905004,0.8448491749007734
0,353,0.682,0.106,0.789,0.6821963883384224,0.8955657510000717
0,354,0.74,0.057,0.718,0.5936260283376592,0.8419826979114612
0,355,0.707,0.121,0.72,0.5969173220984534,0.8429137827572819
0,356,0.666,0.08,0.811,0.7134445237393044,0.9079488612008785
0,357,0.754,0.059,0.645,0.5149018113499153,0.7757385827387546
0,358,0.696,0.087,0.74,0.6203513715353353,0.8588886003154739
0,359,0.708,0.036,0.74,0.621390371493327,0.8578496003574821
0,360,0.758,0.048,0.624,0.48946481328567915,0.7575443352013018
0,361,0.717,0.063,0.674,0.5496017778367991,0.7987444572089434
0,362,0.742,0.091,0.674,0.543643509140168,0.8047027259055745
0,363,0.751,0.144,0.669,0.5415496855698304,0.7955368731916054
0,364,0.717,0.108,0.732,0.6195769867029772,0.8441809302569099
0,365,0.719,0.069,0.721,0.601056756778002,0.8415892671488102
0,366,0.743,0.055,0.673,0.5483351273709036,0.7986036481393004
0,367,0.735,0.068,0.668,0.5426484715388932,0.7930306276870042
0,368,0.733,0.057,0.708,0.5870253073084819,0.8288789854431016
0,369,0.726,0.091,0.711,0.5886353757913071,0.8328987551024297
0,370,0.712,0.101,0.725,0.6003759958065462,0.8493073257979573
0,371,0.707,0.06,0.738,0.6180515804867589,0.8569660127574353
0,372,0.717,0.076,0.745,0.6245873945917957,0.8659122535433201
0,373,0.701,0.047,0.761,0.653173659753953,0.8696975576985453
0,374,0.705,0.033,0.761,0.6481312726937549,0.8747399447587434
0,375,0.74,0.051,0.702,0.5802108330692943,0.8244337833979825
0,376,0.732,0.077,0.681,0.5495174824746124,0.8114958883909752
0,377,0.715,0.071,0.723,0.6035007909559132,0.8419601520419758
0,378,0.726,0.061,0.707,0.5846393029883977,0.8284500706921089
0,379,0.714,0.085,0.745,0.637436430983066,0.8530632171520498
0,380,0.654,0.082,0.842,0.7377697971423832,0.9455518073614874
0,381,0.665,0.123,0.808,0.7034896569226704,0.9122738898753592
0,382,0.67,0.083,0.791,0.6856936447468615,0.8962908731982476
0,383,0.717,0.096,0.719,0.5994672959953458,0.8389563493248511
0,384,0.744,0.037,0.638,0.5089047375241854,0.7676610612091009
0,385,0.751,0.059,0.675,0.5481631086057841,0.8015905859754968
0,386,0.706,0.051,0.735,0.6196687482013761,0.8497190069006648
0,387,0.722,0.056,0.727,0.6075651390735061,0.8463405611376128
0,388,0.689,0.11,0.761,0.6455982485355491,0.8772729689169492
0,389,0.714,0.053,0.716,0.5933087115181856,0.8394850956598578
0,390,0.743,0.045,0.707,0.5806302164785498,0.8324591572019567
0,391,0.732,0.048,0.69,0.5650338003978425,0.8142765444297438
0,392,0.783,0.076,0.586,0.4528801401232964,0.7181261934446135
0,393,0.749,0.072,0.692,0.5656471045924975,0.8192930783772422
0,394,0.744,0.113,0.669,0.5459430042122896,0.7911435545491462
0,395,0.744,0.044,0.684,0.5583500452720389,0.8097006232712403
0,396,0.762,0.022,0.638,0.5059431050003608,0.7692152341973871
0,397,0.691,0.138,0.802,0.7014998763712356,0.9030039941424873
0,398,0.718,0.067,0.711,0.5859097080832744,0.8356244228104625
0,399,0.761,0.029,0.673,0.5413394031185186,0.804191912856147
0,400,0.724,0.082,0.665,0.5448641136419274,0.7851851474418163
0,401,0.689,0.105,0.776,0.6632504396895962,0.8877699684736693
0,402,0.721,0.081,0.752,0.6414169920812248,0.8617497918737366
0,403,0.725,0.06,0.704,0.5784573027281372,0.8304096923457545
0,404,0.673,0.122,0.778,0.6769185817185994,0.8797316645868194
0,405,0.69,0.044,0.759,0.6460174349329209,0.8726314039129621
0,406,0.743,0.059,0.673,0.5424082784236584,0.8045304970865457
0,407,0.704,0.065,0.784,0.6704957695230664,0.8974141530666591
0,408,0.689,0.094,0.795,0.6929421851207062,0.8960796305020947
0,409,0.736,0.087,0.694,0.570298191126165,0.8174569109146513
0,410,0.745,0.077,0.659,0.5245529582550003,0.7928291670088984
0,411,0.723,0.086,0.714,0.5887683433959106,0.839803085175518
0,412,0.693,0.059,0.778,0.6646532144527127,0.8905895723171676
0,413,0.735,0.075,0.709,0.5905107704629408,0.8282084413597196
0,414,0.715,0.075,0.729,0.6065117110361042,0.85161636778163
0,415,0.67,0.086,0.796,0.679569788159784,0.9122669465340933
0,416,0.685,0.126,0.79,0.6836572786484192,0.895512320225613
0,417,0.713,0.028,0.701,0.5719522719803587,0.8298774254158412
0,418,0.724,0.141,0.739,0.6243058474388943,0.8535266648763764
0,419,0.727,0.103,0.728,0.6098701536196973,0.84544300612696
0,420,0.723,0.108,0.711,0.5873232595676958,0.834210871326041
0,421,0.72,0.075,0.723,0.6036474292628149,0.8418135137350742
0,422,0.705,0.05,0.757,0.6424536866612616,0.8705653140424681
0,423,0.717,0.072,0.732,0.6100654789399589,0.8536924380199282
0,424,0.739,0.075,0.691,0.5653477480431299,0.8167775158555328
0,425,0.734,0.065,0.706,0.5862362832164825,0.8254456309284857
0,426,0.707,0.104,0.745,0.6291178065001739,0.8613818416349419
0,427,0.721,0.079,0.74,0.6269515222939172,0.852288449556892
0,428,0.747,0.022,0.671,0.5444028381205085,0.796906099247542
0,429,0.712,0.088,0.738,0.621143324024165,0.8552817287555673
0,430,0.777,0.057,0.583,0.4478083254877862,0.7189756294735086
0,431,0.677,0.081,0.804,0.7016969075805242,0.9070293415398136
0,432,0.711,0.097,0.7,0.5713461370492656,0.8276686412758574
0,433,0.747,0.065,0.626,0.48182063902884387,0.7708183476002904
0,434,0.677,0.133,0.789,0.6769753728108938,0.9007867665276004
0,435,0.708,0.068,0.742,0.6251317602701157,0.8583305901873087
0,436,0.737,0.036,0.653,0.5212548548574094,0.7848675941221823
0,437,0.694,0.056,0.776,0.6704575961974426,0.8819702715013609
0,438,0.698,0.08,0.759,0.6497942332748237,0.8674471460355209
0,439,0.747,0.05,0.647,0.5090508849093248,0.7858118877859602
