,Random_state,CV_AUC,CV_AUC_SD,Test_AUC,Test_AUC_lCI,Test_AUC_uCI
0,440,0.704,0.135,0.748,0.6271013419460431,0.8690281443312265
0,441,0.725,0.035,0.727,0.5997762337744089,0.85412946643671
0,442,0.725,0.04,0.731,0.6107683843828156,0.8515820730415335
0,443,0.737,0.035,0.695,0.5706931362889186,0.8184694252874362
0,444,0.722,0.059,0.71,0.592018432591634,0.8281082387665644
0,445,0.724,0.081,0.709,0.581797267712454,0.8355144845746679
0,446,0.746,0.085,0.662,0.5316928459425717,0.7913191174634805
0,447,0.727,0.088,0.725,0.6066619580141448,0.8430213635903587
0,448,0.72,0.047,0.725,0.6126921037415071,0.8369912178629965
0,449,0.705,0.088,0.732,0.6159268877799726,0.8478310291799145
0,450,0.755,0.068,0.672,0.5469483928078005,0.7971754636313269
0,451,0.721,0.094,0.73,0.6112076319039745,0.8497353659848361
0,452,0.729,0.031,0.723,0.598842829727098,0.8466181132707911
0,453,0.725,0.063,0.714,0.595649401340815,0.8329220272306136
0,454,0.738,0.082,0.708,0.5807190458849752,0.8351852468666082
0,455,0.755,0.057,0.644,0.5104865811246438,0.7773388938929492
0,456,0.732,0.051,0.709,0.5908290044718753,0.8278902073507851
0,457,0.739,0.063,0.692,0.5621277217198968,0.8214050017143044
0,458,0.704,0.037,0.702,0.579324506098854,0.8239126508328843
0,459,0.739,0.034,0.697,0.5722734414316533,0.8211114987513164
0,460,0.757,0.052,0.614,0.48355532751204755,0.7437493874773965
0,461,0.682,0.1,0.771,0.6549897222434581,0.8861784691710387
0,462,0.679,0.058,0.781,0.6779821869105442,0.8842978975370279
0,463,0.691,0.086,0.752,0.6351894667934591,0.8679773171615023
0,464,0.672,0.107,0.799,0.6936601592932703,0.9038064135427608
0,465,0.723,0.088,0.716,0.5939756701034546,0.8388181370745889
0,466,0.726,0.106,0.712,0.5929969977285205,0.8313520522362927
0,467,0.728,0.064,0.698,0.5761951960172255,0.8200046632368206
0,468,0.743,0.041,0.702,0.573245499743815,0.8313991167234618
0,469,0.776,0.037,0.602,0.4580149544326332,0.745362948452659
0,470,0.728,0.103,0.73,0.6119811728830151,0.8489618250057955
0,471,0.742,0.119,0.686,0.5651903487417156,0.8070826984081787
0,472,0.704,0.146,0.716,0.592194844232028,0.8391915034104775
0,473,0.677,0.04,0.81,0.7107833544255528,0.9092025709790916
0,474,0.725,0.079,0.737,0.6165713003974657,0.8570388333111901
0,475,0.678,0.074,0.747,0.6291468617822201,0.8641677054239726
0,476,0.716,0.081,0.72,0.5933506965301332,0.8464804083256021
0,477,0.642,0.078,0.836,0.7423269167251476,0.9297350114944158
0,478,0.725,0.084,0.728,0.6116374356098901,0.8436757241367672
0,479,0.745,0.102,0.691,0.5640391698271541,0.8180860940715087
0,480,0.722,0.109,0.738,0.6204192744037307,0.8560057783760016
