,SVC,RF,LASSO,ADA,mean
326,0.0,0.19,0.0,0.035,0.05625
327,0.198,0.393,0.0,0.403,0.2485
328,0.562,0.192,0.107,0.048,0.22725
329,0.222,0.225,0.0,0.088,0.13375
330,0.637,0.176,0.01,0.002,0.20625
331,0.348,0.254,0.0,0.048,0.1625
332,0.453,0.116,0.1,0.035,0.17600000000000002
333,0.049,0.094,0.0,0.072,0.053750000000000006
334,0.354,0.453,0.003,0.121,0.23274999999999998
335,0.001,0.149,0.0,0.005,0.03875
336,0.443,0.143,0.015,0.039,0.16
337,0.676,0.279,0.031,0.086,0.268
338,0.515,0.132,0.135,0.026,0.202
339,0.173,0.098,0.006,0.004,0.07025
340,0.015,0.262,0.0,0.105,0.0955
341,0.001,0.132,0.0,0.079,0.053000000000000005
342,0.0,0.153,0.0,0.103,0.064
343,0.002,0.158,0.0,0.022,0.0455
344,0.613,0.241,0.003,0.075,0.23299999999999998
345,0.942,0.17,0.127,0.125,0.34099999999999997
346,0.638,0.054,0.017,0.055,0.19100000000000003
347,0.389,0.111,0.02,0.029,0.13725
348,0.302,0.162,0.0,0.069,0.13324999999999998
349,0.549,0.141,0.009,0.037,0.18400000000000002
350,0.339,0.084,0.041,0.012,0.11900000000000001
351,0.715,0.099,0.201,0.035,0.26249999999999996
352,0.001,0.116,0.0,0.021,0.0345
353,0.455,0.144,0.001,0.035,0.15875
354,0.0,0.168,0.0,0.049,0.05425000000000001
355,0.0,0.237,0.0,0.007,0.061
356,0.0,0.013,0.0,0.0,0.00325
357,0.36,0.185,0.001,0.142,0.172
358,0.391,0.157,0.181,0.141,0.21750000000000003
359,0.475,0.253,0.664,0.148,0.38499999999999995
360,0.013,0.085,0.0,0.005,0.025750000000000002
361,0.0,0.09,0.0,0.017,0.02675
362,0.049,0.072,0.0,0.01,0.03275
363,0.562,0.246,0.0,0.146,0.23850000000000002
364,0.736,0.084,0.0,0.011,0.20775
365,0.036,0.134,0.0,0.035,0.051250000000000004
366,0.0,0.109,0.0,0.0,0.02725
367,0.0,0.057,0.0,0.0,0.01425
368,0.993,0.594,0.331,0.436,0.5885
369,0.078,0.086,0.0,0.005,0.042249999999999996
370,0.333,0.537,0.005,0.292,0.29175
371,0.0,0.098,0.0,0.002,0.025
372,0.432,0.231,0.0,0.049,0.17800000000000002
373,0.738,0.9,0.154,0.247,0.5097499999999999
374,0.255,0.205,0.0,0.022,0.1205
375,0.258,0.943,0.0,0.018,0.30475
376,0.97,0.999,0.951,0.752,0.9179999999999999
377,0.56,0.877,0.274,0.243,0.48850000000000005
378,0.373,0.207,0.033,0.104,0.17925
379,0.746,0.464,0.106,0.014,0.3325
380,0.829,0.999,0.006,0.345,0.54475
381,0.788,0.263,0.172,0.061,0.321
382,0.707,0.247,0.249,0.125,0.33199999999999996
383,0.351,0.268,0.0,0.044,0.16575
384,0.964,0.985,0.226,0.839,0.7535
385,0.45,0.371,0.012,0.043,0.219
386,0.788,0.696,0.498,0.177,0.53975
387,0.255,0.044,0.0,0.01,0.07725
388,0.093,0.922,0.003,0.024,0.2605
389,0.231,0.872,0.0,0.166,0.31725
390,0.591,0.801,0.337,0.116,0.46125
391,0.205,0.199,0.028,0.017,0.11225000000000002
392,0.781,0.161,0.062,0.178,0.2955
393,0.179,0.919,0.014,0.034,0.28650000000000003
394,0.036,0.9,0.0,0.031,0.24175000000000002
395,0.921,0.255,0.03,0.068,0.31850000000000006
396,0.031,0.974,0.0,0.033,0.25949999999999995
397,0.293,0.995,0.0,0.014,0.3255
398,0.02,0.712,0.0,0.058,0.1975
399,0.026,0.99,0.0,0.029,0.26125
400,0.03,0.977,0.0,0.024,0.25775
401,0.564,0.994,0.145,0.641,0.586
