,Random_state,Optimal_Nfeat,Optimal_C,CV_AUC,CV_AUC_SD,Test_AUC,CV_AUC_lowCI,CV_AUC_highCI
0,52,45,0.1,0.8206923511271338,0.05620855443160819,0.7536945812807883,0.642815226263521,0.8645739362980553
0,53,30,0.7000000000000001,0.8222017113321461,0.03769762351262771,0.788881069669247,0.6870663618297973,0.8906957775086969
0,54,40,0.30000000000000004,0.8023107327455155,0.07275670512452914,0.808585503166784,0.7058779875551613,0.9112930187784067
0,55,40,2.0,0.7937909916170787,0.07733361418597647,0.8613652357494722,0.771373589909244,0.9513568815897004
0,56,40,0.7000000000000001,0.8023737132432786,0.06091993500478058,0.7923997185080929,0.6866998785637434,0.8980995584524426
0,57,45,0.9000000000000001,0.83514963297572,0.06588862382729624,0.7860661505981704,0.6830863364443392,0.8890459647520011
0,58,50,2.0,0.8157907310081223,0.0890480652582313,0.7783251231527094,0.6669343124327115,0.8897159338727073
0,59,35,8.0,0.8060157234070278,0.07240899778300802,0.7135819845179451,0.5898608119979104,0.8373031570379798
0,60,30,0.9000000000000001,0.7821113668939756,0.07000686168084104,0.7698803659394793,0.6578257122761447,0.8819350196028136
0,61,30,0.30000000000000004,0.8119337184554576,0.0455721061654046,0.7923997185080929,0.6841158062078078,0.9006836308083782
0,62,35,0.5000000000000001,0.8239933979064414,0.05494841906677552,0.8001407459535539,0.6997331466804553,0.9005483452266523
0,63,45,1.0,0.771780393519524,0.04762194327411719,0.8339197748064743,0.7406200516418424,0.9272194979711061
0,64,50,1.0,0.8256873561221388,0.03874742320674987,0.805066854327938,0.7026452960802895,0.9074884125755868
0,65,40,0.7000000000000001,0.8241736524345221,0.05282359026106717,0.7565095003518649,0.6395012046494452,0.8735177960542845
0,66,45,0.5000000000000001,0.8153563827476871,0.06934665785421534,0.8416608022519352,0.7434486720410043,0.9398729324628663
0,67,30,0.7000000000000001,0.8066759327628892,0.07971388611497669,0.8099929627023223,0.7015361141093552,0.9184498112952892
0,68,40,0.5000000000000001,0.8477413890457368,0.09751917469727973,0.7860661505981702,0.6724280469309587,0.8997042542653817
0,69,50,0.7000000000000001,0.8265951439864484,0.065776154624866,0.7607318789584799,0.6525082195831612,0.8689555383337987
0,70,30,0.9000000000000001,0.7963927376970855,0.07158745334782692,0.7931034482758621,0.681166032193907,0.9050408643578169
0,71,45,0.5000000000000001,0.8030817009077877,0.11643760067097841,0.7867698803659395,0.6776669360544528,0.895872824677426
0,72,45,0.08999999999999998,0.7960365721235287,0.014409217299300465,0.8275862068965517,0.7187847786968101,0.9363876350962933
0,73,30,8.0,0.8140815706033097,0.07537102877834521,0.7487684729064039,0.6401295296626867,0.8574074161501214
0,74,50,0.7000000000000001,0.8277331364287885,0.04762258663129545,0.7769176636171711,0.6676088871082015,0.8862264401261404
0,75,50,0.9000000000000001,0.7916518264344351,0.06995101478956017,0.836734693877551,0.7458385715591505,0.9276308161959514
0,76,35,0.5000000000000001,0.8328888502801546,0.06532855783891714,0.7797325826882476,0.673277366750442,0.8861877986260532
0,77,35,0.9000000000000001,0.778035008469791,0.06691308787734038,0.8719211822660099,0.788462837988064,0.9553795265439557
0,78,35,1.5,0.8538200929505277,0.018083426187200116,0.7368050668543279,0.6195579701763915,0.8540521635322643
0,79,35,0.5000000000000001,0.8126026147765278,0.05437454773023028,0.7663617171006334,0.6547778691376342,0.8779455650636323
0,80,50,0.7000000000000001,0.8131737827390001,0.03654514891061386,0.7002111189303306,0.581763997815271,0.8186582400453905
0,81,40,0.7000000000000001,0.826293271945446,0.06743347529125808,0.8423645320197045,0.7499666525146353,0.9347624115247732
0,82,50,0.30000000000000004,0.8327911219215567,0.07045240302694143,0.7776213933849402,0.6724706450003836,0.8827721417694968
0,83,35,0.5000000000000001,0.8491530208921512,0.0866267802151338,0.6917663617171007,0.5638708543599588,0.8196618690742424
0,84,50,0.1,0.7914129348911959,0.07606183862217628,0.8465869106263196,0.7512286113104962,0.941945209942143
0,85,45,1.0,0.8034139773270208,0.05476135675911086,0.840253342716397,0.7423813055659974,0.9381253798667963
0,86,35,0.7000000000000001,0.8238609216870086,0.127487648475199,0.7895847994370162,0.6837942565186769,0.8953753423553553
0,87,45,1.5,0.8460474308300396,0.04331827976798847,0.7551020408163265,0.6404422901031805,0.8697617915294726
0,88,30,0.7000000000000001,0.807485992268601,0.06326870612426314,0.7818437719915552,0.6728431623106842,0.8908443816724264
0,89,45,1.0,0.8317508578378146,0.07693094482160057,0.7276565798733287,0.6104620356356731,0.8448511241109842
0,90,30,0.5000000000000001,0.8009381922425401,0.0273951680860179,0.8106966924700914,0.7083272776562778,0.9130661072839051
0,91,45,0.7000000000000001,0.8071928071928071,0.0626668060714032,0.8275862068965517,0.7235652477718251,0.9316071660212784
